Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
i1;lreg.cpp;73;4.032738447189331;0-10;Single bit-flip
i3;lreg.cpp;119;8.95119333267212;0-10;Single bit-flip
testCases;lreg.cpp;195;4.311449766159058;0-10;Single bit-flip
i1;lreg.cpp;198;3.8382015228271484;0-10;Single bit-flip
iterations;lreg.cpp;141;2.8729641437530518;0-10;Single bit-flip
preload_file;rtld.c;1630;1.8285722732543945;0-10;Single bit-flip
i1;lreg.cpp;73;4.162773609161377;0-10;Single bit-flip
pD;lreg.cpp;102;2.074481964111328;0-10;Single bit-flip
ranges;dl-reloc.c;258;0.7517468929290771;0-10;Single bit-flip
__x;/usr/include/c++/7/cmath;415;7.776967763900757;0-10;Single bit-flip
start_time;rtld.c;308;1.687556505203247;0-10;Single bit-flip
temp;lreg.cpp;202;4.436752080917358;0-10;Single bit-flip
__p;/usr/include/c++/7/bits/stl_vector.h;176;3.1586687564849854;0-10;Single bit-flip
a1;lreg.cpp;45;3.32499098777771;0-10;Single bit-flip
testCases;lreg.cpp;195;2.5601260662078857;0-10;Single bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;60;2.1080713272094727;0-10;Single bit-flip
__GI__dl_argv;rtld.c;83;1.697704553604126;0-10;Single bit-flip
iterations;lreg.cpp;141;4.4533679485321045;0-10;Single bit-flip
any_debug;rtld.c;2322;0.252652645111084;0-10;Single bit-flip
PD;lreg.cpp;118;5.622402906417847;0-10;Single bit-flip
testCases;lreg.cpp;195;1.9013962745666504;0-10;Single bit-flip
i1;lreg.cpp;198;4.579422235488892;0-10;Single bit-flip
testCases;lreg.cpp;195;1.6042170524597168;0-10;Single bit-flip
relocate_time;rtld.c;306;1.651496171951294;0-10;Single bit-flip
a1;lreg.cpp;45;3.4979031085968018;0-10;Single bit-flip
predictions;lreg.cpp;203;1.5110323429107666;0-10;Single bit-flip
testCases;lreg.cpp;195;4.551570892333984;0-10;Single bit-flip
iterations;lreg.cpp;141;3.264418840408325;0-10;Single bit-flip
i3;lreg.cpp;103;5.270217418670654;0-10;Single bit-flip
ln_two1;../sysdeps/ieee754/dbl-64/uexp.h;57;8.942034721374512;0-10;Single bit-flip
INF;../sysdeps/ieee754/dbl-64/upow.h;48;3.8786587715148926;0-10;Single bit-flip
i1;lreg.cpp;73;4.1568193435668945;0-10;Single bit-flip
_dl_rtld_libname;rtld.c;301;1.643758773803711;0-10;Single bit-flip
ui;../sysdeps/ieee754/dbl-64/upow.tbl;5108;8.170628786087036;0-10;Single bit-flip
testCases;lreg.cpp;195;4.452799558639526;0-10;Single bit-flip
testCases;lreg.cpp;195;6.718921661376953;0-10;Single bit-flip
N;lreg.cpp;141;3.7224693298339844;0-10;Single bit-flip
predictions;lreg.cpp;203;5.501012802124023;0-10;Random bit-flip
iterations;lreg.cpp;141;1.7950928211212158;0-10;Random bit-flip
iterations;lreg.cpp;141;2.61971378326416;0-10;Random bit-flip
alpha;lreg.cpp;202;4.74954628944397;0-10;Random bit-flip
tls_init_tp_called;rtld.c;677;1.0829010009765625;0-10;Random bit-flip
i3;lreg.cpp;87;4.428471326828003;0-10;Random bit-flip
i2;lreg.cpp;73;5.923880100250244;0-10;Random bit-flip
y;w_pow_compat.c;28;6.37555718421936;0-10;Random bit-flip
ln_two1;../sysdeps/ieee754/dbl-64/uexp.h;57;6.694800853729248;0-10;Random bit-flip
a2;lreg.cpp;45;2.670884847640991;0-10;Random bit-flip
a2;lreg.cpp;45;3.3523354530334473;0-10;Random bit-flip
iterations;lreg.cpp;141;6.6028642654418945;0-10;Random bit-flip
MSE;lreg.cpp;153;2.8430662155151367;0-10;Random bit-flip
i2;lreg.cpp;103;5.03195595741272;0-10;Random bit-flip
iterations;lreg.cpp;141;1.6727361679077148;0-10;Random bit-flip
iterations;lreg.cpp;141;8.664654016494751;0-10;Random bit-flip
predictions;lreg.cpp;203;2.1556012630462646;0-10;Random bit-flip
testCases;lreg.cpp;195;3.6245501041412354;0-10;Random bit-flip
iterations;lreg.cpp;141;6.184469699859619;0-10;Random bit-flip
testCases;lreg.cpp;195;1.7392559051513672;0-10;Random bit-flip
iterations;lreg.cpp;141;4.572618007659912;0-10;Random bit-flip
predictions;lreg.cpp;203;4.1058714389801025;0-10;Random bit-flip
testCases;lreg.cpp;195;2.6044042110443115;0-10;Random bit-flip
N;lreg.cpp;141;2.6972239017486572;0-10;Random bit-flip
predictions;lreg.cpp;203;3.2167696952819824;0-10;Random bit-flip
iterations;lreg.cpp;141;8.165388107299805;0-10;Random bit-flip
a3;lreg.cpp;45;9.169210433959961;0-10;Random bit-flip
iterations;lreg.cpp;141;2.317909002304077;0-10;Random bit-flip
iterations;lreg.cpp;141;2.677973508834839;0-10;Random bit-flip
predictions;lreg.cpp;203;1.707505702972412;0-10;Random bit-flip
a2;lreg.cpp;45;2.5438106060028076;0-10;Random bit-flip
testCases;lreg.cpp;195;1.9481580257415771;0-10;Random bit-flip
