numberIterationErrors;maxRelativeError;minRelativeError;averageRelativeError;numberErrorsLessThan0.1;numberErrorsLessThan0.2;numberErrorsLessThan0.3;numberErrorsLessThan0.4;numberErrorsLessThan0.5;numberErrorsLessThan1;numberErrorsLessThan2;numberErrorsLessThan3;numberErrorsLessThan4;numberErrorsLessThan5;numberErrorsLessThan8;numberErrorsLessThan10;numberErrorsLessThan12;numberErrorsLessThan15
4;3.0497003011273733;0.9530915860244065;1.6457305647412142;0;0;0;0;0;1;3;3;4;4;4;4;4;4
6;0.10174001066988142;0.007580811450067957;0.03400854860687635;5;6;6;6;6;6;6;6;6;6;6;6;6;6
2;0.0009091074383149415;0.00014284979630347014;0.0005259786173092058;2;2;2;2;2;2;2;2;2;2;2;2;2;2
8;2.311998053054282;1.4944370867752623;1.679468586982778;0;0;0;0;0;0;6;8;8;8;8;8;8;8
8;1.958776128282096;0.374536853333877;0.7468006489969075;0;0;0;2;5;6;8;8;8;8;8;8;8;8
8;3.4845596387334123;1.8225948581057694;2.2135665900403314;0;0;0;0;0;0;6;7;8;8;8;8;8;8
4;25.07628179122216;7.832428191202943;13.530852806753739;0;0;0;0;0;0;0;0;0;0;1;2;3;3
8;1.5551905032313886;0.006406271502524759;0.36184480870465346;5;6;6;6;6;6;8;8;8;8;8;8;8;8
6;0.09096753895189649;0.006822730305062885;0.030502869756396187;6;6;6;6;6;6;6;6;6;6;6;6;6;6
8;1.6701143830615823;0.006880810132335014;0.38862732343407086;5;6;6;6;6;6;8;8;8;8;8;8;8;8
4;0.04582575270509232;0.0012636873132100695;0.018602164876925772;4;4;4;4;4;4;4;4;4;4;4;4;4;4
6;0.11285446561702014;0.007415509538192399;0.0348861742282156;5;6;6;6;6;6;6;6;6;6;6;6;6;6
8;90.80082300281404;0.32922311457234443;43.88416956333881;0;0;0;1;1;1;1;1;1;1;1;1;1;2
6;0.02992353254997542;0.0022742434350324528;0.010242072251182994;6;6;6;6;6;6;6;6;6;6;6;6;6;6
4;16.466010319469298;5.14315604855459;8.884889853791947;0;0;0;0;0;0;0;0;0;0;3;3;3;3
6;0.004644331303369303;0.0037077547690961997;0.004246169214451313;6;6;6;6;6;6;6;6;6;6;6;6;6;6
4;0.5235445034255487;0.1638486745949945;0.28256894992902554;0;1;3;3;3;4;4;4;4;4;4;4;4;4
8;1.258416484140509;0.005219924927981858;0.29289779679537686;5;6;6;6;6;7;8;8;8;8;8;8;8;8
8;1.1803358481382393;0.004982655613076731;0.2746853462361754;5;6;6;6;6;7;8;8;8;8;8;8;8;8
6;0.37105180361956297;0.06211793118261722;0.18500187838978235;1;5;5;6;6;6;6;6;6;6;6;6;6;6
8;1.4886022552121347;0.0061690021876196315;0.34639672912563807;5;6;6;6;6;7;8;8;8;8;8;8;8;8
14;158.57839160650062;58.721663014007156;98.15700600869305;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;20.842928077984578;6.510100155387015;11.246582820469904;0;0;0;0;0;0;0;0;0;0;1;3;3;3
4;1.5364924089618295;0.4800073847289976;0.829304939857694;0;0;0;0;1;3;4;4;4;4;4;4;4;4
8;3.3361726291879625;1.811876136931663;2.16191547501539;0;0;0;0;0;0;6;7;8;8;8;8;8;8
6;0.08600878212933169;0.006822730305062885;0.028778338935006698;6;6;6;6;6;6;6;6;6;6;6;6;6;6
8;1.5754711879073042;0.006643540817429886;0.36666198105881115;5;6;6;6;6;6;8;8;8;8;8;8;8;8
4;18.149066619431018;5.6685487469038005;9.792975965319298;0;0;0;0;0;0;0;0;0;0;2;3;3;3
4;0.6158254718328833;0.192310650933094;0.33214602830551304;0;1;3;3;3;4;4;4;4;4;4;4;4;4
4;8.142866938271746;2.543885290542933;4.393985626991208;0;0;0;0;0;0;0;1;3;3;3;4;4;4
6;0.08806068150419614;0.006822730305062885;0.02941914324455866;6;6;6;6;6;6;6;6;6;6;6;6;6;6
8;1.326018766393554;0.005457194242886985;0.30856646392038933;5;6;6;6;6;7;8;8;8;8;8;8;8;8
8;0.9197290500527309;0.0037963090385338297;0.21405731312377177;6;6;6;6;6;8;8;8;8;8;8;8;8;8
8;1.5555285146426652;0.006406271502524759;0.36194510395805973;5;6;6;6;6;6;8;8;8;8;8;8;8;8
3;0.0004887537756335851;0.00010828042030364295;0.000258356431257402;3;3;3;3;3;3;3;3;3;3;3;3;3;3
4;4.097932106348822;1.2800196926106648;2.2112641323505517;0;0;0;0;0;0;3;3;3;4;4;4;4;4
7;0.0020280684676011497;0.00010306462668015517;0.0007030553828182418;7;7;7;7;7;7;7;7;7;7;7;7;7;7
8;0.8771396122333183;0.003559039723628702;0.2041907731424333;6;6;6;6;6;8;8;8;8;8;8;8;8;8
8;1.1127335658851945;0.0045081169832492125;0.258978301112106;5;6;6;6;6;7;8;8;8;8;8;8;8;8
1;0.0004887537756335851;0.0004887537756335851;0.0004887537756335851;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;0.012844433628082973;0.00010306462668015517;0.0034182384881664605;7;7;7;7;7;7;7;7;7;7;7;7;7;7
6;0.10806670040902254;0.008338892595073028;0.035980499719356886;5;6;6;6;6;6;6;6;6;6;6;6;6;6
6;0.030265515779109773;0.0006318436566050348;0.008519918132910491;6;6;6;6;6;6;6;6;6;6;6;6;6;6
6;0.1061857926487447;0.00648857084591835;0.03245148944463446;5;6;6;6;6;6;6;6;6;6;6;6;6;6
8;1099.183364430383;20.12492546504921;295.3825438491923;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.00017099161458661752;0.00017099161458661752;0.00017099161458661752;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;0.12168410805549255;0.012640491946587045;0.0418020879662236;7;8;8;8;8;8;8;8;8;8;8;8;8;8
8;2.315694167071946e+17;1.970775533382006e+17;2.1943117220680026e+17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1.6025121008085181;0.006643540817429886;0.37283514325837197;5;6;6;6;6;6;8;8;8;8;8;8;8;8
8;2.8271274438225142;0.2936311213946645;0.8667036415660482;0;0;1;5;6;6;6;8;8;8;8;8;8;8
6;0.004644331303369303;0.0037077547690961997;0.004246169214451313;6;6;6;6;6;6;6;6;6;6;6;6;6;6
8;3369867.198187105;2867930.204699711;3193230.5162851014;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1.1904761904761874;0.004982655613076731;0.27705902086031226;5;6;6;6;6;7;8;8;8;8;8;8;8;8
8;0;0;0.0;8;8;8;8;8;8;8;8;8;8;8;8;8;8
2;0.00042854938889772275;0.00030000780020921175;0.0003642785945534672;2;2;2;2;2;2;2;2;2;2;2;2;2;2
8;1.4615613423109206;0.0061690021876196315;0.3401395663426885;5;6;6;6;6;7;8;8;8;8;8;8;8;8
4;0.0006760228225337166;0.00010828042030364295;0.00045179057799902975;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2;0.00042854938889772275;0.00030000780020921175;0.0003642785945534672;2;2;2;2;2;2;2;2;2;2;2;2;2;2
4;22.161574547594704;6.922414190987558;11.958158722021373;0;0;0;0;0;0;0;0;0;0;1;3;3;3
4;13.745578798804639;4.293912214034071;7.41721725314684;0;0;0;0;0;0;0;0;0;1;3;3;3;4
3;0.0006760228225337166;0.00035607019569019636;0.0005069489312858326;3;3;3;3;3;3;3;3;3;3;3;3;3;3
4;0.34741070459234014;0.10846320712627033;0.18726329710246906;0;3;3;4;4;4;4;4;4;4;4;4;4;4
6;0.08378589113990005;0.0037077547690961997;0.024988659167434788;6;6;6;6;6;6;6;6;6;6;6;6;6;6
6;0.0051297484371514174;0.0022742434350152157;0.0033749305168974974;6;6;6;6;6;6;6;6;6;6;6;6;6;6
8;3.070157648522223;0.3533689797753652;0.9728124479951507;0;0;0;3;5;6;6;7;8;8;8;8;8;8
8;0.1213460966442353;0.0029325226537481684;0.0336038843480134;7;8;8;8;8;8;8;8;8;8;8;8;8;8
6;0.05745318249593258;0.0018538773845480998;0.01635859467800011;6;6;6;6;6;6;6;6;6;6;6;6;6;6
6;0.03676319713279862;0.003032324580020288;0.012185661520892663;6;6;6;6;6;6;6;6;6;6;6;6;6;6
8;0.026026878667423196;0.0001432804341845178;0.005982885292138197;8;8;8;8;8;8;8;8;8;8;8;8;8;8
