numberIterationErrors;maxRelativeError;minRelativeError;averageRelativeError;numberErrorsLessThan0.1;numberErrorsLessThan0.2;numberErrorsLessThan0.3;numberErrorsLessThan0.4;numberErrorsLessThan0.5;numberErrorsLessThan1;numberErrorsLessThan2;numberErrorsLessThan3;numberErrorsLessThan4;numberErrorsLessThan5;numberErrorsLessThan8;numberErrorsLessThan10;numberErrorsLessThan12;numberErrorsLessThan15
8;0.9467699629539451;0.004033578353438957;0.22033417764063046;6;6;6;6;6;8;8;8;8;8;8;8;8;8
8;0.43535869770963836;0.0016608852043531555;0.10131265095184977;6;6;7;7;8;8;8;8;8;8;8;8;8;8
8;55.4920094102377;4.522785012341992;15.336929453470152;0;0;0;0;0;0;0;0;0;1;2;4;5;7
8;0.6854871420459222;0.002847231778896056;0.15957713290095826;6;6;6;6;7;8;8;8;8;8;8;8;8;8
8;1.409507584976074;0.005931732872714503;0.3280239883627392;5;6;6;6;6;7;8;8;8;8;8;8;8;8
1;0;0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;1.6244828425407778;0.006880810132335014;0.37800705599840195;5;6;6;6;6;6;8;8;8;8;8;8;8;8
8;1.402409345339499;0.005931732872714503;0.32632886307174697;5;6;6;6;6;7;8;8;8;8;8;8;8;8
8;55.4920094102377;4.522785012341992;15.336929453470152;0;0;0;0;0;0;0;0;0;1;2;4;5;7
