"","errLimit","percentage","benchmark"
"1","0",100,"Lreg"
"2","0.1",0,"Lreg"
"3","0.2",0,"Lreg"
"4","0.3",0,"Lreg"
"5","0.4",0,"Lreg"
"6","0.5",0,"Lreg"
"7","1",0,"Lreg"
"8","2",0,"Lreg"
"9","3",0,"Lreg"
"10","4",0,"Lreg"
"11","5",0,"Lreg"
"12","8",0,"Lreg"
"13","10",0,"Lreg"
"14","12",0,"Lreg"
"15","15",0,"Lreg"
