Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
i1;lreg.cpp;232;2.669382095336914;0-3;Single bit-flip;1
pos2;lreg.cpp;138;2.4662411212921143;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.0113844871520996;0-3;Single bit-flip;1
i2;lreg.cpp;127;0.9070117473602295;0-3;Single bit-flip;1
i1;lreg.cpp;155;1.7073769569396973;0-3;Single bit-flip;1
i2;lreg.cpp;115;2.07234263420105;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;3.853247880935669;0-3;Single bit-flip;1
pred2;lreg.cpp;238;2.126919746398926;0-3;Single bit-flip;1
i2;lreg.cpp;115;2.9320590496063232;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.9130339622497559;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.196910858154297;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.9106881618499756;0-3;Single bit-flip;1
T2;lreg.cpp;37;1.9543406963348389;0-3;Single bit-flip;1
pos1;lreg.cpp;138;1.2648653984069824;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;1.2881097793579102;0-3;Single bit-flip;1
i1;lreg.cpp;232;2.666372060775757;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;1.0655910968780518;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.6862800121307373;0-3;Single bit-flip;1
iter2;lreg.cpp;177;2.5331249237060547;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.598999500274658;0-3;Single bit-flip;1
i2;lreg.cpp;141;2.5441958904266357;0-3;Single bit-flip;1
i1;lreg.cpp;155;1.7328617572784424;0-3;Single bit-flip;1
i2;lreg.cpp;155;1.7267184257507324;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;1.8547172546386719;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;2.4306538105010986;0-3;Single bit-flip;1
T2;lreg.cpp;37;0.7323672771453857;0-3;Single bit-flip;1
pos1;lreg.cpp;138;1.8624894618988037;0-3;Single bit-flip;1
v;lreg.cpp;112;1.672785997390747;0-3;Single bit-flip;1
i2;lreg.cpp;127;2.0921952724456787;0-3;Single bit-flip;1
pos2;lreg.cpp;138;2.632397413253784;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;1.104022741317749;0-3;Single bit-flip;1
pos2;lreg.cpp;138;3.416402578353882;0-3;Single bit-flip;1
T2;lreg.cpp;37;1.0345864295959473;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.5975689888000488;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;1.1640303134918213;0-3;Single bit-flip;1
predictions;lreg.cpp;236;1.8313660621643066;0-3;Single bit-flip;1
i1;lreg.cpp;127;2.0502097606658936;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;0.9816639423370361;0-3;Single bit-flip;1
pos1;lreg.cpp;138;2.6876325607299805;0-3;Single bit-flip;1
i2;lreg.cpp;115;0.9567797183990479;0-3;Single bit-flip;1
i1;lreg.cpp;191;0.8971266746520996;0-3;Single bit-flip;1
i2;lreg.cpp;141;2.5411438941955566;0-3;Single bit-flip;1
a;lreg.cpp;70;1.6802093982696533;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;1.5784125328063965;0-3;Single bit-flip;1
pred2;lreg.cpp;238;0.7671468257904053;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;1.4546453952789307;0-3;Single bit-flip;1
iter2;lreg.cpp;177;1.4711873531341553;0-3;Single bit-flip;1
iter2;lreg.cpp;177;0.8738977909088135;0-3;Single bit-flip;1
a;lreg.cpp;70;1.7961969375610352;0-3;Single bit-flip;1
pos2;lreg.cpp;138;1.8793919086456299;0-3;Single bit-flip;1
T2;lreg.cpp;37;1.5878772735595703;0-3;Single bit-flip;1
i2;lreg.cpp;155;1.370131492614746;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.16393780708313;0-3;Single bit-flip;1
i1;lreg.cpp;115;2.3851776123046875;0-3;Single bit-flip;1
iter2;lreg.cpp;177;1.106252908706665;0-3;Single bit-flip;1
pred2;lreg.cpp;238;1.7823116779327393;0-3;Single bit-flip;1
i1;lreg.cpp;115;1.8683876991271973;0-3;Single bit-flip;1
i2;lreg.cpp;141;1.6411118507385254;0-3;Single bit-flip;1
i2;lreg.cpp;191;2.339280128479004;0-3;Single bit-flip;1
i1;lreg.cpp;115;3.0048468112945557;0-3;Single bit-flip;1
i2;lreg.cpp;141;1.746337652206421;0-3;Single bit-flip;1
i2;lreg.cpp;232;3.0406157970428467;0-3;Single bit-flip;1
pred2;lreg.cpp;238;2.350512981414795;0-3;Single bit-flip;1
i2;lreg.cpp;141;1.015409231185913;0-3;Single bit-flip;1
y;lreg.cpp;35;1.2898633480072021;0-3;Single bit-flip;1
i1;lreg.cpp;232;2.6480674743652344;0-3;Single bit-flip;1
i1;lreg.cpp;191;1.7823305130004883;0-3;Single bit-flip;1
T2;lreg.cpp;37;1.0889980792999268;0-3;Single bit-flip;1
T2;lreg.cpp;37;2.8051013946533203;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;1.297926425933838;0-3;Single bit-flip;1
x;lreg.cpp;34;1.8287982940673828;0-3;Single bit-flip;1
T2;lreg.cpp;37;1.7737948894500732;0-3;Single bit-flip;1
i1;lreg.cpp;141;2.349792957305908;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;1.3806705474853516;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;2.2660984992980957;0-3;Single bit-flip;1
pos1;lreg.cpp;138;1.085571527481079;0-3;Single bit-flip;1
i1;lreg.cpp;191;1.9688868522644043;0-3;Single bit-flip;1
pred2;lreg.cpp;238;1.7564136981964111;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;2.011701822280884;0-3;Single bit-flip;1
i2;lreg.cpp;191;0.9475007057189941;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;1.6596300601959229;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;2.108919143676758;0-3;Single bit-flip;1
iter2;lreg.cpp;177;1.560959815979004;0-3;Single bit-flip;1
i1;lreg.cpp;191;1.3374581336975098;0-3;Single bit-flip;1
i2;lreg.cpp;155;1.4657399654388428;0-3;Single bit-flip;1
i1;lreg.cpp;155;2.399182081222534;0-3;Single bit-flip;1
i2;lreg.cpp;115;1.171027660369873;0-3;Single bit-flip;1
i1;lreg.cpp;232;1.0437214374542236;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;2.1884169578552246;0-3;Single bit-flip;1
pred2;lreg.cpp;238;3.081547260284424;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.3133594989776611;0-3;Single bit-flip;1
x;lreg.cpp;34;2.594114065170288;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;1.9665262699127197;0-3;Single bit-flip;1
pred2;lreg.cpp;238;2.338909149169922;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;2.2009341716766357;0-3;Single bit-flip;1
i2;lreg.cpp;191;2.110085964202881;0-3;Single bit-flip;1
T2;lreg.cpp;37;3.5141232013702393;0-3;Single bit-flip;1
i2;lreg.cpp;127;1.5604963302612305;0-3;Single bit-flip;1
pos1;lreg.cpp;138;0.8462574481964111;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;2.778394937515259;0-3;Single bit-flip;1
pred2;lreg.cpp;238;1.670469045639038;0-3;Single bit-flip;1
i2;lreg.cpp;191;1.604734182357788;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;1.4701099395751953;0-3;Single bit-flip;1
x;lreg.cpp;34;2.2606897354125977;0-3;Single bit-flip;1
i1;lreg.cpp;232;2.6898889541625977;0-3;Single bit-flip;1
x;lreg.cpp;34;2.408268451690674;0-3;Single bit-flip;1
predictions;lreg.cpp;236;2.3087661266326904;0-3;Single bit-flip;1
i1;lreg.cpp;232;1.2707626819610596;0-3;Single bit-flip;1
i2;lreg.cpp;141;1.4846420288085938;0-3;Single bit-flip;1
i1;lreg.cpp;191;2.062556743621826;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;2.332416296005249;0-3;Single bit-flip;1
i2;lreg.cpp;127;1.7238609790802002;0-3;Single bit-flip;1
y;lreg.cpp;35;0.7122373580932617;0-3;Single bit-flip;1
i1;lreg.cpp;115;2.4016036987304688;0-3;Single bit-flip;1
i1;lreg.cpp;127;2.3864903450012207;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;2.0189919471740723;0-3;Single bit-flip;1
i2;lreg.cpp;141;1.3728954792022705;0-3;Single bit-flip;1
pos1;lreg.cpp;138;2.0679569244384766;0-3;Single bit-flip;1
this;lreg.cpp;0;1.685495376586914;0-3;Single bit-flip;1
pos2;lreg.cpp;138;1.9798378944396973;0-3;Single bit-flip;1
i1;lreg.cpp;115;1.7659885883331299;0-3;Single bit-flip;1
i2;lreg.cpp;232;2.4364943504333496;0-3;Single bit-flip;1
i1;lreg.cpp;232;0.728346586227417;0-3;Single bit-flip;1
i1;lreg.cpp;115;2.404712677001953;0-3;Single bit-flip;1
i2;lreg.cpp;191;2.792372703552246;0-3;Single bit-flip;1
i2;lreg.cpp;141;1.8610739707946777;0-3;Single bit-flip;1
i2;lreg.cpp;141;2.2776763439178467;0-3;Single bit-flip;1
i2;lreg.cpp;191;2.8264849185943604;0-3;Single bit-flip;1
i1;lreg.cpp;232;1.0768966674804688;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;3.325287342071533;0-3;Single bit-flip;1
i2;lreg.cpp;141;1.7030553817749023;0-3;Single bit-flip;1
i1;lreg.cpp;191;1.6689071655273438;0-3;Single bit-flip;1
a;lreg.cpp;70;0.5800433158874512;0-3;Single bit-flip;1
i1;lreg.cpp;155;1.577282190322876;0-3;Single bit-flip;1
pos1;lreg.cpp;138;1.0614063739776611;0-3;Single bit-flip;1
i2;lreg.cpp;127;3.4753246307373047;0-3;Single bit-flip;1
iter2;lreg.cpp;177;1.373284101486206;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;1.913315773010254;0-3;Single bit-flip;1
predictions;lreg.cpp;236;2.444103479385376;0-3;Single bit-flip;1
pos1;lreg.cpp;138;2.231701612472534;0-3;Single bit-flip;1
iter1;lreg.cpp;177;1.4693412780761719;0-3;Single bit-flip;1
T2;lreg.cpp;37;2.569827079772949;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;0.7594976425170898;0-3;Single bit-flip;1
i1;lreg.cpp;115;2.839853525161743;0-3;Single bit-flip;1
pred2;lreg.cpp;238;1.937523603439331;0-3;Single bit-flip;1
i2;lreg.cpp;232;2.3332533836364746;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;3.757244348526001;0-3;Single bit-flip;1
i2;lreg.cpp;115;1.9479215145111084;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;1.9830873012542725;0-3;Single bit-flip;1
i2;lreg.cpp;115;1.5155320167541504;0-3;Single bit-flip;1
MSE;lreg.cpp;190;2.2446095943450928;0-3;Single bit-flip;1
y;lreg.cpp;35;2.472442388534546;0-3;Single bit-flip;1
y;lreg.cpp;35;1.8470585346221924;0-3;Single bit-flip;1
pos1;lreg.cpp;138;1.4698362350463867;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;1.2394514083862305;0-3;Single bit-flip;1
T2;lreg.cpp;37;2.0802552700042725;0-3;Single bit-flip;1
i2;lreg.cpp;191;1.652827501296997;0-3;Single bit-flip;1
pos2;lreg.cpp;138;1.4397399425506592;0-3;Single bit-flip;1
alpha1;lreg.cpp;177;2.89833927154541;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;4.445225954055786;0-3;Single bit-flip;1
i1;lreg.cpp;141;2.26818585395813;0-3;Single bit-flip;1
pos1;lreg.cpp;138;2.893610954284668;0-3;Single bit-flip;1
i2;lreg.cpp;191;5.792911529541016;0-3;Single bit-flip;1
i2;lreg.cpp;141;1.736473560333252;0-3;Single bit-flip;1
y;lreg.cpp;35;1.9014897346496582;0-3;Single bit-flip;1
x;lreg.cpp;34;2.633795738220215;0-3;Single bit-flip;1
pos2;lreg.cpp;138;2.453662633895874;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;1.3429863452911377;0-3;Single bit-flip;1
i1;lreg.cpp;191;3.059879779815674;0-3;Single bit-flip;1
i2;lreg.cpp;115;2.239560604095459;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.5192079544067383;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;2.4010298252105713;0-3;Single bit-flip;1
pos1;lreg.cpp;138;2.180366277694702;0-3;Single bit-flip;1
i1;lreg.cpp;155;2.7749247550964355;0-3;Single bit-flip;1
pred2;lreg.cpp;238;1.4666788578033447;0-3;Single bit-flip;1
x;lreg.cpp;34;1.1732101440429688;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;1.105010747909546;0-3;Single bit-flip;1
pos1;lreg.cpp;138;0.7076725959777832;0-3;Single bit-flip;1
T1;lreg.cpp;36;2.586925983428955;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;1.7923924922943115;0-3;Single bit-flip;1
i2;lreg.cpp;115;0.9430983066558838;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;1.267427921295166;0-3;Single bit-flip;1
pos1;lreg.cpp;138;0.9000184535980225;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;2.1619770526885986;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;2.3199212551116943;0-3;Single bit-flip;1
pos2;lreg.cpp;138;2.7415895462036133;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;1.9560656547546387;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;1.4879465103149414;0-3;Single bit-flip;1
i1;lreg.cpp;191;1.6661794185638428;0-3;Single bit-flip;1
pos1;lreg.cpp;138;2.8652451038360596;0-3;Single bit-flip;1
predictions;lreg.cpp;236;0.5877506732940674;0-3;Single bit-flip;1
i1;lreg.cpp;115;2.5382397174835205;0-3;Single bit-flip;1
i1;lreg.cpp;141;2.401000499725342;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;0.7654843330383301;0-3;Single bit-flip;1
pos1;lreg.cpp;138;2.8167970180511475;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;3.430323362350464;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.7525291442871094;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;1.8081371784210205;0-3;Single bit-flip;1
i2;lreg.cpp;155;1.2243421077728271;0-3;Single bit-flip;1
i2;lreg.cpp;155;2.343231201171875;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;1.1893694400787354;0-3;Single bit-flip;1
i1;lreg.cpp;155;2.6562094688415527;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;1.3789126873016357;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;1.6158928871154785;0-3;Single bit-flip;1
pos2;lreg.cpp;138;2.3557345867156982;0-3;Single bit-flip;1
i1;lreg.cpp;127;1.987943172454834;0-3;Single bit-flip;1
alpha2;lreg.cpp;177;3.406128406524658;0-3;Single bit-flip;1
i2;lreg.cpp;191;1.6389830112457275;0-3;Single bit-flip;1
T2;lreg.cpp;37;2.245973825454712;0-3;Single bit-flip;1
iter1;lreg.cpp;177;2.5293092727661133;0-3;Single bit-flip;1
T1;lreg.cpp;36;2.631911516189575;0-3;Single bit-flip;1
i2;lreg.cpp;115;1.6339032649993896;0-3;Single bit-flip;1
i2;lreg.cpp;232;3.6136350631713867;0-3;Single bit-flip;1
T1;lreg.cpp;36;2.4649600982666016;0-3;Single bit-flip;1
i1;lreg.cpp;232;1.516195297241211;0-3;Single bit-flip;1
iter2;lreg.cpp;177;0.8921225070953369;0-3;Single bit-flip;1
alpha2;lreg.cpp;151;3.3689653873443604;0-3;Single bit-flip;1
i1;lreg.cpp;232;2.2072513103485107;0-3;Single bit-flip;1
T1;lreg.cpp;36;1.811922550201416;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;1.628575086593628;0-3;Single bit-flip;1
alpha1;lreg.cpp;151;1.4390003681182861;0-3;Single bit-flip;1
x;lreg.cpp;34;0.9567131996154785;0-3;Single bit-flip;1
i1;lreg.cpp;115;2.269937753677368;0-3;Single bit-flip;1
iter1;lreg.cpp;177;2.909303665161133;0-3;Single bit-flip;1
i1;lreg.cpp;155;1.5286705493927002;0-3;Single bit-flip;1
